Name,Birthday,Height,Weight,Season,Team Name,Team Short Name,Preferred Foot,Appearances in Starting XI,Goals,Nationality,Transfer Value,Wage,PlayerPhoto,ClubLogo
Mile Jedinak, 3 August 1984,187 cm,172 lbs,2014/2015,Crystal Palace,CRY,Right,24,5,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Mile Jedinak, 3 August 1984,187 cm,172 lbs,2015/2016,Crystal Palace,CRY,Right,16,0,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Mladen Petric, 1 January 1981,182 cm,179 lbs,2012/2013,Fulham,FUL,Left,9,5,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Modibo Diakite, 2 March 1987,193 cm,194 lbs,2013/2014,Sunderland,SUN,Right,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Modibo Maiga, 3 September 1987,185 cm,176 lbs,2012/2013,West Ham United,WHU,Left,2,2,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Modibo Maiga, 3 September 1987,185 cm,176 lbs,2013/2014,West Ham United,WHU,Left,11,1,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Mohamed Diame, 14 June 1987,185 cm,176 lbs,2011/2012,Wigan Athletic,WIG,Right,18,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Mohamed Diame, 14 June 1987,185 cm,176 lbs,2012/2013,West Ham United,WHU,Right,31,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Mohamed Diame, 14 June 1987,185 cm,176 lbs,2013/2014,West Ham United,WHU,Right,29,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Mohamed Diame, 14 June 1987,185 cm,176 lbs,2014/2015,Hull City,HUL,Right,10,0,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Morten Gamst Pedersen, 8 September 1981,182 cm,163 lbs,2011/2012,Blackburn Rovers,BLB,Left,33,3,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Moussa Dembele, 17 July 1987,185 cm,181 lbs,2012/2013,Tottenham Hotspur,TOT,Left,26,1,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Moussa Dembele, 17 July 1987,185 cm,181 lbs,2013/2014,Tottenham Hotspur,TOT,Left,22,1,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Moussa Dembele, 17 July 1987,185 cm,181 lbs,2014/2015,Tottenham Hotspur,TOT,Left,10,1,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Moussa Dembele, 17 July 1987,185 cm,181 lbs,2015/2016,Tottenham Hotspur,TOT,Left,27,3,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Moussa Dembele, 17 July 1987,185 cm,181 lbs,2011/2012,Fulham,FUL,Left,33,2,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Moussa Dembele, 17 July 1987,185 cm,181 lbs,2012/2013,Fulham,FUL,Left,2,1,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Moussa Dembele, 12 July 1996,182 cm,163 lbs,2013/2014,Fulham,FUL,Right,1,1,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Muamer Tankovic, 22 February 1995,177 cm,163 lbs,2013/2014,Fulham,FUL,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Muhamed Besic, 10 September 1992,177 cm,172 lbs,2014/2015,Everton,EVE,Right,15,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Muhamed Besic, 10 September 1992,177 cm,172 lbs,2015/2016,Everton,EVE,Right,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Nacho Monreal, 26 February 1986,177 cm,159 lbs,2012/2013,Arsenal,ARS,Left,9,1,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Nacho Monreal, 26 February 1986,177 cm,159 lbs,2013/2014,Arsenal,ARS,Left,13,0,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Nacho Monreal, 26 February 1986,177 cm,159 lbs,2014/2015,Arsenal,ARS,Left,26,0,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Nacho Monreal, 26 February 1986,177 cm,159 lbs,2015/2016,Arsenal,ARS,Left,36,0,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Nani, 17 November 1986,175 cm,146 lbs,2011/2012,Manchester United,MUN,Right,24,8,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Nani, 17 November 1986,175 cm,146 lbs,2012/2013,Manchester United,MUN,Right,7,1,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Nani, 17 November 1986,175 cm,146 lbs,2013/2014,Manchester United,MUN,Right,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Nathan Ake, 18 February 1995,180 cm,165 lbs,2012/2013,Chelsea,CHE,Left,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Nathan Ake, 18 February 1995,180 cm,165 lbs,2015/2016,Watford,WAT,Left,20,1,,,,,https://cdn.sofifa.org/1x/18/teams/1795.png
Nelson Oliveira, 8 August 1991,185 cm,181 lbs,2014/2015,Swansea City,SWA,Right,4,1,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Nemanja Matic, 1 August 1988,193 cm,185 lbs,2013/2014,Chelsea,CHE,Left,15,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Nemanja Matic, 1 August 1988,193 cm,185 lbs,2014/2015,Chelsea,CHE,Left,35,1,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Nemanja Matic, 1 August 1988,193 cm,185 lbs,2015/2016,Chelsea,CHE,Left,28,2,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Nemanja Vidic, 21 October 1981,190 cm,194 lbs,2011/2012,Manchester United,MUN,Right,6,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Nemanja Vidic, 21 October 1981,190 cm,194 lbs,2012/2013,Manchester United,MUN,Right,18,1,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Nemanja Vidic, 21 October 1981,190 cm,194 lbs,2013/2014,Manchester United,MUN,Right,23,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Nenad Milijas, 30 April 1983,187 cm,179 lbs,2011/2012,Wolverhampton,WOL,Left,6,0,,,,,https://cdn.sofifa.org/1x/18/teams/110.png
N'Golo Kante, 29 March 1991,170 cm,152 lbs,2015/2016,Leicester City,LEI,Right,33,1,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Nick Blackman, 11 November 1989,185 cm,163 lbs,2012/2013,Reading,REA,Left,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/1793.png
Nicky Shorey, 19 February 1981,175 cm,148 lbs,2011/2012,West Bromwich Albion,WBA,Left,22,0,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Nicky Shorey, 19 February 1981,175 cm,148 lbs,2012/2013,Reading,REA,Left,16,0,,,,,https://cdn.sofifa.org/1x/18/teams/1793.png
Nicolas Anelka, 14 March 1979,185 cm,176 lbs,2011/2012,Chelsea,CHE,Right,3,1,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Nicolas Anelka, 14 March 1979,185 cm,176 lbs,2013/2014,West Bromwich Albion,WBA,Right,11,2,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Nigel de Jong, 30 November 1984,175 cm,159 lbs,2011/2012,Manchester City,MCI,Right,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Nigel de Jong, 30 November 1984,175 cm,159 lbs,2012/2013,Manchester City,MCI,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Nigel Reo-Coker, 14 May 1984,175 cm,168 lbs,2011/2012,Bolton Wanderers,BOL,Right,37,4,,,,,https://cdn.sofifa.org/1x/18/teams/4.png
Nikica Jelavic, 27 August 1985,187 cm,185 lbs,2015/2016,West Ham United,WHU,Right,1,1,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Nikica Jelavic, 27 August 1985,187 cm,185 lbs,2013/2014,Hull City,HUL,Right,16,5,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Nikica Jelavic, 27 August 1985,187 cm,185 lbs,2014/2015,Hull City,HUL,Right,21,8,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Nikica Jelavic, 27 August 1985,187 cm,185 lbs,2011/2012,Everton,EVE,Right,10,9,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Nikica Jelavic, 27 August 1985,187 cm,185 lbs,2012/2013,Everton,EVE,Right,26,7,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Nikica Jelavic, 27 August 1985,187 cm,185 lbs,2013/2014,Everton,EVE,Right,5,5,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Niko Kranjcar, 13 August 1984,185 cm,165 lbs,2011/2012,Tottenham Hotspur,TOT,Right,9,1,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Niko Kranjcar, 13 August 1984,185 cm,165 lbs,2014/2015,Queens Park Rangers,QPR,Right,11,2,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Nuri Sahin, 5 September 1988,180 cm,161 lbs,2012/2013,Liverpool,LIV,Left,7,1,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Odion Ighalo, 16 June 1989,177 cm,170 lbs,2015/2016,Watford,WAT,Right,36,16,,,,,https://cdn.sofifa.org/1x/18/teams/1795.png
Ondrej Celustka, 18 June 1989,185 cm,176 lbs,2013/2014,Sunderland,SUN,Right,14,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Oriol Romeu, 24 September 1991,182 cm,183 lbs,2011/2012,Chelsea,CHE,Right,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Oriol Romeu, 24 September 1991,182 cm,183 lbs,2012/2013,Chelsea,CHE,Right,4,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Oriol Romeu, 24 September 1991,182 cm,183 lbs,2015/2016,Southampton,SOU,Right,17,1,,,,,https://cdn.sofifa.org/1x/18/teams/17.png
Orlando Sa, 26 May 1988,187 cm,187 lbs,2011/2012,Fulham,FUL,Right,3,1,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Oscar, 9 September 1991,177 cm,148 lbs,2012/2013,Chelsea,CHE,Right,24,4,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Oscar, 9 September 1991,177 cm,148 lbs,2013/2014,Chelsea,CHE,Right,24,8,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Oscar, 9 September 1991,177 cm,148 lbs,2014/2015,Chelsea,CHE,Right,26,6,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Oscar, 9 September 1991,177 cm,148 lbs,2015/2016,Chelsea,CHE,Right,20,3,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Pablo Armero, 2 November 1986,175 cm,161 lbs,2013/2014,West Ham United,WHU,Left,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Pablo Hernandez, 11 April 1985,172 cm,159 lbs,2012/2013,Swansea City,SWA,Right,27,3,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Pablo Hernandez, 11 April 1985,172 cm,159 lbs,2013/2014,Swansea City,SWA,Right,17,2,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Pablo Osvaldo, 12 January 1986,182 cm,179 lbs,2013/2014,Southampton,SOU,Right,9,3,,,,,https://cdn.sofifa.org/1x/18/teams/17.png
Pape Ndiaye Souare, 6 June 1990,177 cm,150 lbs,2014/2015,Crystal Palace,CRY,Left,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Pape Ndiaye Souare, 6 June 1990,177 cm,150 lbs,2015/2016,Crystal Palace,CRY,Left,34,0,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Papiss Cisse, 3 June 1985,182 cm,161 lbs,2011/2012,Newcastle United,NEW,Right,13,13,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Papiss Cisse, 3 June 1985,182 cm,161 lbs,2012/2013,Newcastle United,NEW,Right,35,8,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Papiss Cisse, 3 June 1985,182 cm,161 lbs,2013/2014,Newcastle United,NEW,Right,15,2,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Papiss Cisse, 3 June 1985,182 cm,161 lbs,2014/2015,Newcastle United,NEW,Right,11,11,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Papiss Cisse, 3 June 1985,182 cm,161 lbs,2015/2016,Newcastle United,NEW,Right,14,3,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Patrick Agyemang, 29 September 1980,185 cm,196 lbs,2011/2012,Queens Park Rangers,QPR,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
"Patrick Kenny,30", 17 May 1978,185 cm,209 lbs,2011/2012,Queens Park Rangers,QPR,Right,33,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Patrick van Aanholt, 29 August 1990,175 cm,148 lbs,2014/2015,Sunderland,SUN,Left,26,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Patrick van Aanholt, 29 August 1990,175 cm,148 lbs,2015/2016,Sunderland,SUN,Left,33,6,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Patrick van Aanholt, 29 August 1990,175 cm,148 lbs,2011/2012,Wigan Athletic,WIG,Left,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Paul Konchesky, 15 May 1981,177 cm,152 lbs,2014/2015,Leicester City,LEI,Left,26,1,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Paul Scharner, 11 March 1980,190 cm,179 lbs,2012/2013,Wigan Athletic,WIG,Right,14,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Paul Scharner, 11 March 1980,190 cm,179 lbs,2011/2012,West Bromwich Albion,WBA,Right,18,3,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Paul Scholes, 16 November 1974,170 cm,157 lbs,2011/2012,Manchester United,MUN,Right,14,4,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Paul Scholes, 16 November 1974,170 cm,157 lbs,2012/2013,Manchester United,MUN,Right,8,1,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Paulinho, 25 July 1988,182 cm,170 lbs,2013/2014,Tottenham Hotspur,TOT,Right,28,6,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Paulinho, 25 July 1988,182 cm,170 lbs,2014/2015,Tottenham Hotspur,TOT,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Paulo Ferreira, 18 January 1979,182 cm,168 lbs,2011/2012,Chelsea,CHE,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Pedro Chirivella, 23 May 1997,177 cm,146 lbs,2015/2016,Liverpool,LIV,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Pedro Mba Obiang, 27 March 1992,185 cm,165 lbs,2015/2016,West Ham United,WHU,Right,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Pedro Rodriguez, 28 July 1987,167 cm,137 lbs,2015/2016,Chelsea,CHE,Right,24,7,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Pepe Reina, 31 August 1982,187 cm,203 lbs,2011/2012,Liverpool,LIV,Right,34,0,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Pepe Reina, 31 August 1982,187 cm,203 lbs,2012/2013,Liverpool,LIV,Right,31,0,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Peter Loevenkrands, 29 January 1980,180 cm,168 lbs,2011/2012,Newcastle United,NEW,Left,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Peter Odemwingie, 15 July 1981,182 cm,163 lbs,2013/2014,Cardiff City,CAR,Right,11,7,,,,,https://cdn.sofifa.org/1x/18/teams/1961.png
Peter Odemwingie, 15 July 1981,182 cm,163 lbs,2011/2012,West Bromwich Albion,WBA,Right,25,10,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Peter Odemwingie, 15 July 1981,182 cm,163 lbs,2012/2013,West Bromwich Albion,WBA,Right,13,5,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Peter Odemwingie, 15 July 1981,182 cm,163 lbs,2013/2014,Stoke City,STK,Right,15,7,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Peter Odemwingie, 15 July 1981,182 cm,163 lbs,2014/2015,Stoke City,STK,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Petr Cech, 20 May 1982,195 cm,198 lbs,2011/2012,Chelsea,CHE,Left,34,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Petr Cech, 20 May 1982,195 cm,198 lbs,2012/2013,Chelsea,CHE,Left,36,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Petr Cech, 20 May 1982,195 cm,198 lbs,2013/2014,Chelsea,CHE,Left,34,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Petr Cech, 20 May 1982,195 cm,198 lbs,2014/2015,Chelsea,CHE,Left,6,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Petr Cech, 20 May 1982,195 cm,198 lbs,2015/2016,Arsenal,ARS,Left,34,0,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Philip Neville, 21 January 1977,180 cm,168 lbs,2011/2012,Everton,EVE,Right,24,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Philip Neville, 21 January 1977,180 cm,168 lbs,2012/2013,Everton,EVE,Right,18,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Philippe Coutinho, 12 June 1992,170 cm,150 lbs,2012/2013,Liverpool,LIV,Right,12,3,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Philippe Coutinho, 12 June 1992,170 cm,150 lbs,2013/2014,Liverpool,LIV,Right,28,5,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Philippe Coutinho, 12 June 1992,170 cm,150 lbs,2014/2015,Liverpool,LIV,Right,32,5,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Philippe Coutinho, 12 June 1992,170 cm,150 lbs,2015/2016,Liverpool,LIV,Right,24,8,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Piscu, 25 February 1987,182 cm,192 lbs,2011/2012,Wigan Athletic,WIG,Right,5,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Piscu, 25 February 1987,182 cm,192 lbs,2012/2013,Wigan Athletic,WIG,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Pozo, 15 March 1996,170 cm,143 lbs,2014/2015,Manchester City,MCI,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Radamel Falcao, 10 February 1986,177 cm,159 lbs,2015/2016,Chelsea,CHE,Right,1,1,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Radamel Falcao, 10 February 1986,177 cm,159 lbs,2014/2015,Manchester United,MUN,Right,14,4,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Radek Cerny, 18 February 1974,187 cm,192 lbs,2011/2012,Queens Park Rangers,QPR,Left,5,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Radosav Petrovic, 8 March 1989,193 cm,181 lbs,2011/2012,Blackburn Rovers,BLB,Right,10,0,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Rafael, 9 July 1990,175 cm,152 lbs,2011/2012,Manchester United,MUN,Left,10,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Rafael, 9 July 1990,175 cm,152 lbs,2012/2013,Manchester United,MUN,Left,27,3,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Rafael, 9 July 1990,175 cm,152 lbs,2013/2014,Manchester United,MUN,Left,18,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Rafael, 9 July 1990,175 cm,152 lbs,2014/2015,Manchester United,MUN,Left,6,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Rafael van der Vaart, 11 February 1983,175 cm,163 lbs,2011/2012,Tottenham Hotspur,TOT,Left,28,11,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Rafael van der Vaart, 11 February 1983,175 cm,163 lbs,2012/2013,Tottenham Hotspur,TOT,Left,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Ramires, 24 March 1987,180 cm,154 lbs,2011/2012,Chelsea,CHE,Right,28,5,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Ramires, 24 March 1987,180 cm,154 lbs,2012/2013,Chelsea,CHE,Right,28,5,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Ramires, 24 March 1987,180 cm,154 lbs,2013/2014,Chelsea,CHE,Right,29,1,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Ramires, 24 March 1987,180 cm,154 lbs,2014/2015,Chelsea,CHE,Right,11,2,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Ramires, 24 March 1987,180 cm,154 lbs,2015/2016,Chelsea,CHE,Right,7,2,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Ramiro Funes Mori, 5 March 1991,185 cm,176 lbs,2015/2016,Everton,EVE,Left,24,4,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Raul Meireles, 17 March 1983,180 cm,172 lbs,2011/2012,Chelsea,CHE,Right,23,2,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Raul Meireles, 17 March 1983,180 cm,172 lbs,2012/2013,Chelsea,CHE,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Razvan Rat, 26 May 1981,177 cm,159 lbs,2013/2014,West Ham United,WHU,Left,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Reece Grego-Cox, 12 November 1996,170 cm,143 lbs,2014/2015,Queens Park Rangers,QPR,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Rees Greenwood, 20 January 1996,172 cm,150 lbs,2015/2016,Sunderland,SUN,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Ricardo Alvarez, 12 April 1988,187 cm,185 lbs,2014/2015,Sunderland,SUN,Left,5,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Ricardo Fuller, 31 October 1979,190 cm,172 lbs,2011/2012,Stoke City,STK,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Ricardo Gardner, 25 September 1978,175 cm,154 lbs,2011/2012,Bolton Wanderers,BOL,Left,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/4.png
Ricardo Vaz Te, 1 October 1986,187 cm,176 lbs,2012/2013,West Ham United,WHU,Right,18,3,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Ricardo Vaz Te, 1 October 1986,187 cm,176 lbs,2013/2014,West Ham United,WHU,Right,3,2,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Ricardo Vaz Te, 1 October 1986,187 cm,176 lbs,2014/2015,West Ham United,WHU,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Richard Dunne, 21 September 1979,187 cm,209 lbs,2014/2015,Queens Park Rangers,QPR,Right,22,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Richard Dunne, 21 September 1979,187 cm,209 lbs,2011/2012,Aston Villa,AVL,Right,28,1,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Rickie Lambert, 16 February 1982,187 cm,170 lbs,2012/2013,Southampton,SOU,Right,35,15,,,,,https://cdn.sofifa.org/1x/18/teams/17.png
Rickie Lambert, 16 February 1982,187 cm,170 lbs,2013/2014,Southampton,SOU,Right,31,13,,,,,https://cdn.sofifa.org/1x/18/teams/17.png
Rickie Lambert, 16 February 1982,187 cm,170 lbs,2014/2015,Liverpool,LIV,Right,7,2,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Rickie Lambert, 16 February 1982,187 cm,170 lbs,2015/2016,West Bromwich Albion,WBA,Right,5,1,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Ricky van Wolfswinkel, 27 January 1989,185 cm,163 lbs,2013/2014,Norwich City,NOR,Right,16,1,,,,,https://cdn.sofifa.org/1x/18/teams/1792.png
Rio Ferdinand, 7 November 1978,193 cm,190 lbs,2014/2015,Queens Park Rangers,QPR,Right,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Rio Ferdinand, 7 November 1978,193 cm,190 lbs,2011/2012,Manchester United,MUN,Right,29,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Rio Ferdinand, 7 November 1978,193 cm,190 lbs,2012/2013,Manchester United,MUN,Right,26,1,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Rio Ferdinand, 7 November 1978,193 cm,190 lbs,2013/2014,Manchester United,MUN,Right,12,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Ritchie De Laet, 28 November 1988,185 cm,170 lbs,2014/2015,Leicester City,LEI,Right,20,0,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Ritchie De Laet, 28 November 1988,185 cm,170 lbs,2015/2016,Leicester City,LEI,Right,7,1,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Ritchie De Laet, 28 November 1988,185 cm,170 lbs,2011/2012,Norwich City,NOR,Right,6,1,,,,,https://cdn.sofifa.org/1x/18/teams/1792.png
Rob Hulse, 25 October 1979,187 cm,172 lbs,2011/2012,Queens Park Rangers,QPR,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Robbie Keane, 8 July 1980,175 cm,161 lbs,2011/2012,Aston Villa,AVL,Right,5,3,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Robert Huth, 18 August 1984,190 cm,194 lbs,2014/2015,Leicester City,LEI,Right,14,1,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Robert Huth, 18 August 1984,190 cm,194 lbs,2015/2016,Leicester City,LEI,Right,35,3,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Robert Huth, 18 August 1984,190 cm,194 lbs,2011/2012,Stoke City,STK,Right,31,3,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Robert Huth, 18 August 1984,190 cm,194 lbs,2012/2013,Stoke City,STK,Right,35,1,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Robert Huth, 18 August 1984,190 cm,194 lbs,2013/2014,Stoke City,STK,Right,12,0,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Robert Koren, 20 September 1980,175 cm,165 lbs,2013/2014,Hull City,HUL,Right,10,2,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Roberto Firmino, 2 October 1991,180 cm,168 lbs,2015/2016,Liverpool,LIV,Right,24,10,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Roberto Soldado, 27 May 1985,180 cm,163 lbs,2013/2014,Tottenham Hotspur,TOT,Right,22,6,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Roberto Soldado, 27 May 1985,180 cm,163 lbs,2014/2015,Tottenham Hotspur,TOT,Right,7,1,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Robin van Persie, 6 August 1983,187 cm,157 lbs,2011/2012,Arsenal,ARS,Left,37,30,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Robin van Persie, 6 August 1983,187 cm,157 lbs,2012/2013,Manchester United,MUN,Left,35,26,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Robin van Persie, 6 August 1983,187 cm,157 lbs,2013/2014,Manchester United,MUN,Left,18,12,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Robin van Persie, 6 August 1983,187 cm,157 lbs,2014/2015,Manchester United,MUN,Left,25,10,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Roman Golobart, 21 March 1992,193 cm,192 lbs,2012/2013,Wigan Athletic,WIG,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
